Num_Acc,nb_conducteurs_total,nb_conducteurs_jeunes,pct_conducteurs_jeunes,resp_share_jeunes_total,resp_share_autres_total,resp_share_total_check,p_resp_moyenne_jeunes,resp_share_jeune_1,reason_jeune_1,age_jeune_1,resp_share_jeune_2,reason_jeune_2,age_jeune_2,resp_share_jeune_3,reason_jeune_3,age_jeune_3,resp_share_jeune_4,reason_jeune_4,age_jeune_4
202300004045,2,1,0.5,0.5592529656484844,0.44074703435151563,1.0,0.23147521650098232,0.559253,col:3(+1.0);choc:1(+0.5);obsm:2(+0.5);catr:3(+0.5);vma:30(+0.2);lum:5(+0.3),24.0,,,,,,,,,
202300004047,2,1,0.5,0.6048689920367244,0.3951310079632756,1.0,0.35434369377420455,0.604869,manv:19(+3.0);col:7(+-0.5);choc:8(+0.5);catr:3(+0.5);vma:30(+0.2);lum:5(+0.3),21.0,,,,,,,,,
202300004052,2,1,0.5,0.6859184196441535,0.31408158035584655,1.0,0.8347951298093854,0.685918,manv:17(+2.5);col:3(+1.0);choc:1(+0.5);obs:3(+1.0);obsm:2(+0.5);catr:1(+0.5);vma:130(+1.2);lum:2(+0.2);agg:1(+0.3),20.0,,,,,,,,,
202300004053,1,1,1.0,1.0,0.0,1.0,0.14185106490048777,1.0,obsm:1(+1.5);catr:2(+0.3);vma:50(+0.2),22.0,,,,,,,,,
202300004056,1,1,1.0,1.0,0.0,1.0,0.12131883789173686,1.0,obsm:1(+1.5);vma:50(+0.2),24.0,,,,,,,,,
202300004061,2,1,0.5,0.40647909567459484,0.5935209043254052,1.0,0.30153478399746114,0.406479,col:2(+2.0);catr:3(+0.5);vma:90(+0.8);agg:1(+0.3),25.0,,,,,,,,,
202300004063,2,1,0.5,0.5,0.5,1.0,0.4109595659413348,0.5,col:2(+2.0);choc:1(+0.5);obsm:2(+0.5);catr:2(+0.3);vma:90(+0.8);agg:1(+0.3),23.0,,,,,,,,,
202300004065,1,1,1.0,1.0,0.0,1.0,0.05315113639806372,1.0,col:7(+-0.5);vma:50(+0.2);lum:3(+0.5),21.0,,,,,,,,,
202300004066,2,1,0.5,0.5,0.5,1.0,0.12131883789173686,0.5,col:3(+1.0);obsm:2(+0.5);vma:50(+0.2),23.0,,,,,,,,,
202300004067,1,1,1.0,1.0,0.0,1.0,0.1570954688854527,1.0,col:7(+-0.5);choc:1(+0.5);obs:13(+1.0);catr:3(+0.5);vma:80(+0.4);agg:1(+0.3),21.0,,,,,,,,,
202300004073,2,1,0.5,0.5,0.5,1.0,0.28905049737499605,0.5,col:2(+2.0);choc:1(+0.5);obsm:2(+0.5);vma:50(+0.2);lum:5(+0.3),20.0,,,,,,,,,
202300004074,2,1,0.5,0.44645025076554246,0.5535497492344575,1.0,0.2535060166623378,0.44645,col:1(+2.0);obsm:2(+0.5);vma:-1(+0.4);agg:1(+0.3),22.0,,,,,,,,,
202300004080,2,1,0.5,0.4422494141930376,0.5577505858069625,1.0,0.20100899975052938,0.442249,col:1(+2.0);obsm:2(+0.5);vma:50(+0.2),24.0,,,,,,,,,
202300004082,1,1,1.0,1.0,0.0,1.0,0.22097389222018782,1.0,choc:1(+0.5);obs:2(+1.0);catr:3(+0.5);vma:80(+0.4);lum:2(+0.2);agg:1(+0.3),21.0,,,,,,,,,
202300004087,2,1,0.5,0.5642507050155783,0.4357492949844217,1.0,0.15709546888545273,0.564251,col:3(+1.0);choc:1(+0.5);obsm:2(+0.5);vma:50(+0.2),21.0,,,,,,,,,
202300004089,1,1,1.0,1.0,0.0,1.0,0.24232036099629506,1.0,choc:1(+0.5);obs:2(+1.0);catr:3(+0.5);vma:80(+0.4);lum:4(+0.4);agg:1(+0.3),24.0,,,,,,,,,
202300004097,1,1,1.0,1.0,0.0,1.0,0.09279295311715698,1.0,choc:1(+0.5);vma:80(+0.4);agg:1(+0.3),22.0,,,,,,,,,
202300004101,2,2,1.0,1.0,0.0,1.0,0.3143198860617461,0.5,col:1(+2.0);choc:1(+0.5);obsm:2(+0.5);vma:80(+0.4);agg:1(+0.3),24.0,0.5,col:1(+2.0);choc:1(+0.5);obsm:2(+0.5);vma:80(+0.4);agg:1(+0.3),20.0,,,,,,
202300004105,1,1,1.0,1.0,0.0,1.0,0.1570954688854527,1.0,obs:2(+1.0);vma:80(+0.4);lum:3(+0.5);agg:1(+0.3),21.0,,,,,,,,,
202300004106,2,1,0.5,0.568480872091175,0.43151912790882496,1.0,0.09279295311715698,0.568481,choc:1(+0.5);obsm:2(+0.5);vma:50(+0.2),22.0,,,,,,,,,
202300004107,1,1,1.0,1.0,0.0,1.0,0.2535060166623378,1.0,choc:1(+0.5);obs:2(+1.0);catr:3(+0.5);vma:80(+0.4);lum:3(+0.5);agg:1(+0.3),25.0,,,,,,,,,
202300004119,2,1,0.5,0.451238179206371,0.548761820793629,1.0,0.3143198860617461,0.451238,col:1(+2.0);choc:1(+0.5);catr:3(+0.5);vma:80(+0.4);agg:1(+0.3),21.0,,,,,,,,,
202300004120,2,1,0.5,0.5,0.5,1.0,0.12131883789173686,0.5,col:3(+1.0);obsm:2(+0.5);vma:50(+0.2),24.0,,,,,,,,,
202300004121,1,1,1.0,1.0,0.0,1.0,0.2535060166623378,1.0,obsm:1(+1.5);catr:3(+0.5);vma:80(+0.4);lum:3(+0.5);agg:1(+0.3),24.0,,,,,,,,,
202300004124,1,1,1.0,1.0,0.0,1.0,0.17364664701900506,1.0,choc:1(+0.5);obsm:1(+1.5);vma:30(+0.2);lum:2(+0.2),24.0,,,,,,,,,
202300004125,1,1,1.0,1.0,0.0,1.0,0.20100899975052935,1.0,obs:2(+1.0);catr:3(+0.5);vma:80(+0.4);lum:3(+0.5);agg:1(+0.3),22.0,,,,,,,,,
202300004126,2,1,0.5,0.5,0.5,1.0,0.15709546888545273,0.5,col:3(+1.0);choc:7(+0.5);obsm:2(+0.5);vma:50(+0.2),25.0,,,,,,,,,
202300004127,1,1,1.0,1.0,0.0,1.0,0.45512110762641994,1.0,choc:9(+1.5);obs:3(+1.0);catr:1(+0.5);vma:130(+1.2);lum:2(+0.2);agg:1(+0.3),21.0,,,,,,,,,
